DateTime,Time,Open,MA20,CurClose,Vol,NextClose
2022.08.22 21:00:00,210,0.9927,0.9967,0.9932,1907,0.9933
2022.08.22 21:30:00,2130,0.9932,0.9964,0.9933,1945,0.9944
2022.08.22 22:00:00,220,0.9933,0.9962,0.9944,1652,0.9942
2022.08.22 22:30:00,2230,0.9944,0.996,0.9942,1967,0.9943
2022.08.22 23:00:00,230,0.9942,0.9959,0.9943,930,0.9941
2022.08.22 23:30:00,2330,0.9943,0.9957,0.9941,857,0.9943
2022.08.23 00:00:00,00,0.994,0.9956,0.9943,172,0.9942
2022.08.23 00:30:00,030,0.9943,0.9954,0.9942,236,0.9942
2022.08.23 01:00:00,10,0.9942,0.9953,0.9942,920,0.9943
2022.08.23 01:30:00,130,0.9942,0.9952,0.9943,910,0.9933999999999999
2022.08.23 02:00:00,20,0.9943,0.995,0.9933999999999999,904,0.9938
2022.08.23 02:30:00,230,0.9933999999999999,0.9949,0.9938,982,0.9944
2022.08.23 03:00:00,30,0.9938,0.9949,0.9944,2862,0.9939
2022.08.23 03:30:00,330,0.9944,0.9948,0.9939,3333,0.9944
2022.08.23 04:00:00,40,0.9939,0.9947,0.9944,2705,0.994
2022.08.23 04:30:00,430,0.9944,0.9947,0.994,2744,0.994
2022.08.23 05:00:00,50,0.994,0.9946,0.994,2223,0.9944
2022.08.23 05:30:00,530,0.994,0.9946,0.9944,2152,0.9945000000000001
2022.08.23 06:00:00,60,0.9944,0.9946,0.9945000000000001,1757,0.9942
2022.08.23 06:30:00,630,0.9944,0.9945000000000001,0.9942,1358,0.994
2022.08.23 07:00:00,70,0.9941,0.9945000000000001,0.994,1318,0.9933999999999999
2022.08.23 07:30:00,730,0.994,0.9944,0.9933999999999999,1292,0.9922
2022.08.23 08:00:00,80,0.9933999999999999,0.9942,0.9922,2828,0.9919
2022.08.23 08:30:00,830,0.9922,0.994,0.9919,2916,0.9913999999999999
2022.08.23 09:00:00,90,0.9919,0.9937,0.9913999999999999,4959,0.9906
2022.08.23 09:30:00,930,0.9913999999999999,0.9933999999999999,0.9906,4066,0.9906
2022.08.23 10:00:00,100,0.9906,0.9931,0.9906,6926,0.9933
2022.08.23 10:30:00,1030,0.9907,0.9932,0.9933,7403,0.9928
2022.08.23 11:00:00,110,0.9933,0.9931,0.9928,5185,0.9932
